Title,Gross,Budget,ReleaseDate,MPAARating,RunningTime,Distributor,Source,Genre,CreativeType,Director,RottenTomatoesRating,IMDBRating
Baby Boy,28734552,16000000,6/27/2001,R,130,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,69,6.1
The Curious Case of Benjamin Button,127509326,160000000,12/25/2008,PG-13,167,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,David Fincher,72,8
Be Cool,55849401,75000000,3/4/2005,PG-13,115,MGM,Based on Book/Short Story,Comedy,Contemporary Fiction,F. Gary Gray,30,5.6
Body of Lies,39394666,67500000,10/10/2008,R,129,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ridley Scott,52,7.2
Blood Diamond,57377916,100000000,12/8/2006,R,143,Warner Bros.,Original Screenplay,Action,Historical Fiction,Edward Zwick,62,8
In the Bedroom,35930604,1700000,11/23/2001,R,130,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Todd Field,93,7.5
Bee Movie,126631277,150000000,11/2/2007,PG,90,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Steve Hickner,51,6.3
Beowulf,82195215,150000000,11/16/2007,PG-13,115,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Robert Zemeckis,70,6.6
Big Fat Liar,47811275,15000000,2/8/2002,PG,88,Universal,Original Screenplay,Comedy,Contemporary Fiction,Shawn Levy,43,5.2
Big Fish,66432867,70000000,12/10/2003,PG-13,125,Sony Pictures,Based on Book/Short Story,Drama,Fantasy,Tim Burton,77,8.1
Black Hawk Down,108638745,95000000,12/28/2001,R,144,Sony Pictures,Based on Book/Short Story,Action,Dramatization,Ridley Scott,76,7.7
Blood Work,26199517,50000000,8/9/2002,R,110,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Clint Eastwood,54,6.3
Legally Blonde,96493426,18000000,7/13/2001,PG-13,97,MGM,Original Screenplay,Comedy,Contemporary Fiction,Robert Luketic,67,6.2
Blow,52990775,30000000,4/6/2001,R,123,New Line,Based on Book/Short Story,Drama,Dramatization,Ted Demme,54,7.4
A Beautiful Mind,170708996,78000000,12/21/2001,PG-13,135,Universal,Based on Magazine Article,Drama,Dramatization,Ron Howard,78,8
Bandits,41523271,75000000,10/12/2001,PG-13,123,MGM,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,63,6.5
Bobby,11242801,14000000,11/17/2006,R,120,MGM,Based on Real Life Events,Drama,Dramatization,Emilio Estevez,46,7.1
The Bourne Identity,121468960,60000000,6/14/2002,PG-13,110,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Doug Liman,82,7.7
The Bourne Supremacy,176087450,85000000,7/23/2004,PG-13,108,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,81,7.6
The Bourne Ultimatum,227471070,130000000,8/3/2007,PG-13,114,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,93,8.2
Brokeback Mountain,83043761,13900000,12/9/2005,R,134,Focus Features,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,87,7.8
Barbershop,75781642,12000000,9/13/2002,PG-13,103,MGM,Original Screenplay,Comedy,Contemporary Fiction,Tim Story,82,6.2
Bad Santa,60060328,18000000,11/26/2003,R,91,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Terry Zwigoff,77,7.3
Inglourious Basterds,120831050,70000000,8/21/2009,R,152,Weinstein Co.,Original Screenplay,Action,Historical Fiction,Quentin Tarantino,88,8.4
Bewitched,63313159,80000000,6/24/2005,PG-13,100,Sony Pictures,Based on TV,Comedy,Fantasy,Nora Ephron,24,4.8
Catch Me if You Can,164606800,52000000,12/25/2002,PG-13,141,Dreamworks SKG,Based on Book/Short Story,Drama,Dramatization,Steven Spielberg,96,5.7
Crocodile Dundee in Los Angeles,25590119,25000000,4/20/2001,PG,95,Paramount Pictures,Original Screenplay,Adventure,Contemporary Fiction,Simon Wincer,12,4.6
Cellular,32003620,45000000,9/10/2004,PG-13,94,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David R. Ellis,54,6.5
City of Ember,7871693,38000000,10/10/2008,PG,94,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Gil Kenan,53,6.4
Charlie and the Chocolate Factory,206459076,150000000,7/15/2005,PG,115,Warner Bros.,Remake,Comedy,Kids Fiction,Tim Burton,82,7.1
Catch a Fire,4299773,14000000,10/27/2006,PG-13,101,Focus Features,Based on Real Life Events,Thriller/Suspense,Dramatization,Phillip Noyce,76,6.8
Chicago,170687518,30000000,12/27/2002,PG-13,113,Miramax,Based on Musical/Opera,Musical,Historical Fiction,Rob Marshall,88,7.2
Chicken Little,135386665,60000000,11/4/2005,G,80,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,36,5.8
Cheaper by the Dozen,138614544,40000000,12/25/2003,PG,98,20th Century Fox,Remake,Comedy,Contemporary Fiction,Shawn Levy,24,5.6
Cheaper by the Dozen 2,82571173,60000000,12/21/2005,PG,94,20th Century Fox,Remake,Comedy,Contemporary Fiction,Adam Shankman,7,5.2
Children of Men,35552383,76000000,12/25/2006,R,114,Universal,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Alfonso Cuaron,93,8.1
Love in the Time of Cholera,4617608,45000000,11/16/2007,R,139,New Line,Based on Book/Short Story,Drama,Historical Fiction,Mike Newell,27,6.2
Charlotte's Web,82985708,82500000,12/15/2006,G,98,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,Gary Winick,78,6.7
Cinderella Man,61649911,88000000,6/3/2005,PG-13,144,Universal,Based on Real Life Events,Drama,Dramatization,Ron Howard,80,8
Cold Mountain,95632614,80000000,12/25/2003,R,152,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,70,7.3
Code Name: The Cleaner,8135024,20000000,1/5/2007,PG-13,91,New Line,Original Screenplay,Comedy,Contemporary Fiction,Les Mayfield,4,4
Closer,33987757,35000000,12/3/2004,R,104,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Mike Nichols,68,2.9
Maid in Manhattan,93932896,55000000,12/13/2002,PG-13,105,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Wayne Wang,39,4.6
Constantine,75976178,75000000,2/18/2005,R,122,Warner Bros.,Based on Comic/Graphic Novel,Action,Contemporary Fiction,Francis Lawrence,46,6.7
Collateral,100170152,60000000,8/6/2004,R,120,Dreamworks SKG,Original Screenplay,Action,Contemporary Fiction,Michael Mann,86,7.8
