Title,Gross,Budget,ReleaseDate,MPAARating,RunningTime,Distributor,Source,Genre,CreativeType,Director,RottenTomatoesRating,IMDBRating
Hollywood Homicide,30207785,75000000,6/13/2003,PG-13,116,Sony/Columbia,Original Screenplay,Action,Contemporary Fiction,Ron Shelton,30,5.2
Ice Age,176387405,65000000,3/15/2002,PG,81,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,Chris Wedge,77,7.4
Identity,52131264,28000000,4/25/2003,R,90,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,James Mangold,62,7.3
The Imaginarium of Doctor Parnassus,7689458,30000000,12/25/2009,PG-13,122,Sony Pictures Classics,Original Screenplay,Adventure,Fantasy,Terry Gilliam,64,7.1
Imagine That,16123323,55000000,6/12/2009,PG,107,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Karey Kirkpatrick,38,5.4
Inception,285630280,160000000,7/16/2010,PG-13,147,Warner Bros.,Original Screenplay,Thriller/Suspense,Science Fiction,Christopher Nolan,87,9.1
Inkheart,17303424,60000000,1/23/2009,PG,105,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Iain Softley,40,6.1
I Now Pronounce You Chuck and Larry,119725280,85000000,7/20/2007,PG-13,115,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,14,6.1
Insomnia,67263182,46000000,5/24/2002,R,118,Warner Bros.,Remake,Thriller/Suspense,Contemporary Fiction,Christopher Nolan,92,6.3
Iron Man,318604126,186000000,5/2/2008,PG-13,126,Paramount Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Jon Favreau,94,7.9
I Spy,33561137,70000000,11/1/2002,PG-13,97,Sony Pictures,Based on TV,Action,Contemporary Fiction,Betty Thomas,15,5.3
The Italian Job,106126012,60000000,5/30/2003,PG-13,111,Paramount Pictures,Remake,Adventure,Contemporary Fiction,F. Gary Gray,73,6.9
I Think I Love My Wife,12559771,14000000,3/16/2007,R,94,Fox Searchlight,Remake,Romantic Comedy,Contemporary Fiction,Chris Rock,19,5.5
Jarhead,62647540,72000000,11/4/2005,R,115,Universal,Based on Book/Short Story,Drama,Dramatization,Sam Mendes,61,7.2
Die Another Day,160942139,142000000,11/22/2002,PG-13,133,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Lee Tamahori,59,6
Casino Royale,167365000,102000000,11/17/2006,PG-13,144,Sony Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,94,8
Joe Dirt,27087695,16000000,4/11/2001,PG-13,91,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Dennie Gordon,11,5.4
Jersey Girl,25266129,35000000,3/26/2004,PG-13,102,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,40,6.2
Joe Somebody,22770864,38000000,12/21/2001,PG,98,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,John Pasquin,19,5.3
John Q,71026631,36000000,2/15/2002,PG-13,116,New Line,Original Screenplay,Drama,Contemporary Fiction,Nick Cassavetes,22,6.6
Jay and Silent Bob Strike Back,30059386,22000000,8/24/2001,R,104,Miramax/Dimension,Spin-Off,Comedy,Contemporary Fiction,Kevin Smith,53,6.8
Juno,143495265,7000000,12/5/2007,PG-13,95,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Jason Reitman,93,7.9
Just Married,56127162,19000000,1/10/2003,PG-13,95,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Shawn Levy,20,5.1
Freddy vs. Jason,82622655,25000000,8/15/2003,R,97,New Line,Spin-Off,Horror,Contemporary Fiction,Ronny Yu,41,5.8
K-19: The Widowmaker,35168966,90000000,7/19/2002,PG-13,138,Paramount Pictures,Based on Book/Short Story,Action,Dramatization,Kathryn Bigelow,61,6.5
Kiss of the Dragon,36833473,25000000,7/6/2001,R,98,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Chris Nahon,51,6.3
Kill Bill: Volume 1,70098138,55000000,10/10/2003,R,111,Miramax,Original Screenplay,Action,Contemporary Fiction,Quentin Tarantino,85,8.2
King Kong,218080025,207000000,12/14/2005,PG-13,187,Universal,Remake,Adventure,Fantasy,Peter Jackson,83,7.6
Knocked Up,148761765,27500000,6/1/2007,R,132,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Judd Apatow,90,7.5
The Kingdom,47467250,72500000,9/28/2007,R,110,Universal,Original Screenplay,Action,Contemporary Fiction,Peter Berg,51,7.1
Knowing,79957634,50000000,3/20/2009,PG-13,121,Summit Entertainment,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Alex Proyas,32,6.4
K-PAX,50315140,48000000,10/26/2001,PG-13,121,Universal,Based on Book/Short Story,Drama,Science Fiction,Iain Softley,40,7.3
The Kite Runner,15800078,20000000,12/14/2007,PG-13,122,Paramount Vantage,Based on Book/Short Story,Drama,Contemporary Fiction,Marc Forster,66,7.8
Law Abiding Citizen,73357727,53000000,10/16/2009,R,108,Overture Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,F. Gary Gray,25,7.2
Ladder 49,74541707,60000000,10/1/2004,PG-13,105,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Jay Russell,40,6.5
The Ladykillers,39692139,35000000,3/26/2004,R,104,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Joel Coen,54,6.2
Lakeview Terrace,39263506,20000000,9/19/2008,PG-13,106,Sony/Screen Gems,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Neil LaBute,46,6.3
Land of the Lost,49438370,100000000,6/5/2009,PG-13,101,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,26,5.3
Little Children,5463019,14000000,10/6/2006,R,136,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Todd Field,79,7.8
I am Legend,256393010,150000000,12/14/2007,PG-13,100,Warner Bros.,Based on Book/Short Story,Horror,Science Fiction,Francis Lawrence,69,7.1
Letters from Iwo Jima,13756082,13000000,12/20/2006,R,141,Warner Bros.,Based on Real Life Events,Drama,Historical Fiction,Clint Eastwood,91,8.1
The Life Aquatic with Steve Zissou,24006726,50000000,12/10/2004,R,118,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Wes Anderson,53,7.2
Like Mike,51432423,30000000,7/3/2002,PG,99,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,John Schultz,56,4.4
The Last King of Scotland,17606684,6000000,9/27/2006,R,121,Fox Searchlight,Based on Book/Short Story,Drama,Dramatization,Kevin MacDonald,87,7.8
Lions for Lambs,14998070,35000000,11/9/2007,R,90,United Artists,Original Screenplay,Drama,Contemporary Fiction,Robert Redford,27,6.2
How to Lose a Guy in 10 Days,105807520,50000000,2/7/2003,PG-13,116,Paramount Pictures,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Donald Petrie,43,6.1
The Last Samurai,111110575,120000000,12/5/2003,R,154,Warner Bros.,Original Screenplay,Action,Historical Fiction,Edward Zwick,65,7.8
Lost in Translation,44585453,4000000,9/12/2003,R,102,Focus Features,Original Screenplay,Drama,Contemporary Fiction,Sofia Coppola,94,7.9
License to Wed,43799818,35000000,7/3/2007,PG,90,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,Ken Kwapis,7,5.1
Lucky You,5755286,55000000,5/4/2007,PG-13,122,Warner Bros.,Original Screenplay,Drama,Historical Fiction,Curtis Hanson,28,5.9
Love Ranch,134904,25000000,6/30/2010,R,117,,Based on Real Life Events,Drama,Dramatization,Taylor Hackford,13,5.6
The Longest Yard,158119460,82000000,5/27/2005,PG-13,113,Paramount Pictures,Remake,Comedy,Contemporary Fiction,Peter Segal,31,6.2
Madagascar,193595521,75000000,5/27/2005,PG,83,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Eric Darnell,55,6.6
Paul Blart: Mall Cop,146336178,26000000,1/16/2009,PG,91,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,35,5.3
A Man Apart,26500000,36000000,4/4/2003,R,110,New Line,Original Screenplay,Action,Contemporary Fiction,F. Gary Gray,11,5.7
Man on Fire,77906816,60000000,4/23/2004,R,146,20th Century Fox,Remake,Thriller/Suspense,Contemporary Fiction,Tony Scott,38,7.7
My Big Fat Greek Wedding,241438208,5000000,4/19/2002,PG,95,IFC Films,Based on Play,Romantic Comedy,Contemporary Fiction,Joel Zwick,75,6.6
My Best Friend's Girl,19219250,20000000,9/19/2008,R,103,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Howard Deutch,15,5.8
The Manchurian Candidate,65948711,80000000,7/30/2004,R,129,Paramount Pictures,Remake,Thriller/Suspense,Historical Fiction,Jonathan Demme,81,6.7
Master and Commander: The Far Side of the World,93926386,135000000,11/14/2003,PG-13,138,20th Century Fox,Based on Book/Short Story,Adventure,Historical Fiction,Peter Weir,85,7.5
Million Dollar Baby,100492203,30000000,12/15/2004,PG-13,132,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Clint Eastwood,91,8.2
Mean Girls,86047227,18000000,4/30/2004,PG-13,97,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Mark Waters,83,7
Memoirs of a Geisha,57010853,85000000,12/9/2005,PG-13,145,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Rob Marshall,36,7.1
The Men Who Stare at Goats,32428195,24000000,11/6/2009,R,93,Overture Films,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Grant Heslov,53,6.4
The Missing,26900336,65000000,11/26/2003,R,137,Sony Pictures,Based on Book/Short Story,Western,Historical Fiction,Ron Howard,59,7.4
The Majestic,27796042,72000000,12/21/2001,PG,153,Warner Bros.,Original Screenplay,Drama,Historical Fiction,Frank Darabont,41,6.8
Captain Corelli's Mandolin,25528495,57000000,8/17/2001,R,129,Miramax,Based on Book/Short Story,Drama,Historical Fiction,John Madden,29,5.7
Monster-in-Law,82931301,45000000,5/13/2005,PG-13,95,New Line,Original Screenplay,Comedy,Contemporary Fiction,Robert Luketic,16,5.1
Mona Lisa Smile,63803100,65000000,12/19/2003,PG-13,117,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Mike Newell,35,6.1
Monster's Ball,31273922,4000000,12/26/2001,R,111,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,Marc Forster,85,7.2
"Monsters, Inc.",255870172,115000000,11/2/2001,G,95,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,David Silverman,95,7.4
Me and Orson Welles,1190003,25000000,11/25/2009,PG-13,107,Freestyle Releasing,Based on Book/Short Story,Drama,Historical Fiction,Richard Linklater,84,7.1
Meet the Fockers,279167575,60000000,12/22/2004,PG-13,115,Universal,Original Screenplay,Comedy,Contemporary Fiction,Jay Roach,38,6.4
Minority Report,132024714,102000000,6/21/2002,PG-13,145,20th Century Fox,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,91,7.7
Miss Potter,3005605,30000000,12/29/2006,PG,92,MGM,Based on Real Life Events,Drama,Dramatization,Chris Noonan,66,7.1
A Mighty Heart,9176787,15000000,6/22/2007,R,100,Paramount Vantage,Based on Book/Short Story,Drama,Dramatization,Michael Winterbottom,78,6.7
The Matrix Reloaded,281553689,127000000,5/15/2003,R,138,Warner Bros.,Original Screenplay,Action,Science Fiction,Andy Wachowski,73,7.1
The Matrix Revolutions,139259759,110000000,11/5/2003,R,129,Warner Bros.,Original Screenplay,Action,Science Fiction,Andy Wachowski,37,6.5
The Mummy Returns,202007640,98000000,5/4/2001,PG-13,129,Universal,Remake,Adventure,Fantasy,Stephen Sommers,47,6.2
The Mummy: Tomb of the Dragon Emperor,102491776,175000000,8/1/2008,PG-13,111,Universal,Remake,Adventure,Fantasy,Rob Cohen,13,5.1
Murder by Numbers,31874869,50000000,4/19/2002,R,120,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Barbet Schroeder,31,5.9
Night at the Museum,250863268,110000000,12/22/2006,PG,108,20th Century Fox,Based on Book/Short Story,Comedy,Fantasy,Shawn Levy,43,6.4
The Musketeer,27053815,40000000,9/7/2001,PG-13,104,Universal,Based on Book/Short Story,Adventure,Historical Fiction,Peter Hyams,10,4.4
Miami Vice,63478838,135000000,7/28/2006,R,132,Universal,Based on TV,Action,Contemporary Fiction,Michael Mann,47,6
Monsters vs. Aliens,198351526,175000000,3/27/2009,PG,95,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Fantasy,Rob Letterman,72,6.8
The Mexican,66808615,40000000,3/2/2001,R,124,Dreamworks SKG,Original Screenplay,Action,Contemporary Fiction,Gore Verbinski,55,5.9
My Sister's Keeper,49200230,27500000,6/26/2009,PG-13,108,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Nick Cassavetes,48,7.4
Mystic River,90135191,30000000,10/8/2003,R,137,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Clint Eastwood,87,8
National Treasure,173005002,100000000,11/19/2004,PG,131,Walt Disney Pictures,Original Screenplay,Adventure,Contemporary Fiction,Jon Turteltaub,44,6.9
The Nativity Story,37629831,35000000,12/1/2006,PG,102,New Line,Based on Book/Short Story,Drama,Dramatization,Catherine Hardwicke,37,6.6
The Incredibles,261441092,92000000,11/5/2004,PG,121,Walt Disney Pictures,Original Screenplay,Adventure,Super Hero,Brad Bird,97,8.1
In Good Company,45489752,26000000,12/29/2004,PG-13,109,Universal,Original Screenplay,Comedy,Contemporary Fiction,Paul Weitz,84,6.8
Nick and Norah's Infinite Playlist,31487293,10000000,10/3/2008,PG-13,90,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Peter Sollett,73,6.8
The Notebook,81001787,30000000,6/25/2004,PG-13,123,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Nick Cassavetes,52,8
Napoleon Dynamite,44540956,400000,6/11/2004,PG,82,Fox Searchlight,Based on Short Film,Comedy,Contemporary Fiction,Jared Hess,70,6.9
Intolerable Cruelty,35327628,60000000,10/10/2003,PG-13,100,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Joel Coen,75,6.4
The Interpreter,72708161,90000000,4/22/2005,PG-13,118,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Sydney Pollack,58,6.5
The Number 23,35193167,32000000,2/23/2007,R,95,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,8,6.2
Finding Neverland,51676606,25000000,11/12/2004,PG,106,Miramax,Based on Play,Drama,Historical Fiction,Marc Forster,82,7.9
Into the Wild,18354356,20000000,9/21/2007,R,147,Paramount Vantage,Based on Book/Short Story,Drama,Contemporary Fiction,Sean Penn,82,8.2
Ocean's Eleven,183417150,110000000,12/7/2001,PG-13,116,Warner Bros.,Remake,Comedy,Contemporary Fiction,Steven Soderbergh,81,7.6
Ocean's Twelve,125531634,85000000,12/10/2004,PG-13,125,Warner Bros.,Remake,Adventure,Contemporary Fiction,Steven Soderbergh,55,6
Ocean's Thirteen,117144465,85000000,6/8/2007,PG-13,122,Warner Bros.,Remake,Adventure,Contemporary Fiction,Steven Soderbergh,70,6.9
One Night with the King,13395961,20000000,10/13/2006,PG,124,Rocky Mountain Pictures,Based on Book/Short Story,Drama,Historical Fiction,Michael O. Sajbel,16,6
Open Range,58328680,26000000,8/15/2003,R,139,Walt Disney Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,79,7.5
Old School,75155000,24000000,2/21/2003,R,91,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,60,7
Out of Time,41083108,50000000,10/3/2003,PG-13,105,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Carl Franklin,65,4.9
The Pacifier,113006880,56000000,3/4/2005,PG,97,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Adam Shankman,20,5.3
The Passion of the Christ,370782930,25000000,2/25/2004,R,127,Newmarket Films,Based on Book/Short Story,Drama,Dramatization,Mel Gibson,50,7.1
Paycheck,53789313,60000000,12/25/2003,PG-13,119,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Science Fiction,John Woo,28,6.1
The Princess Diaries,108244774,30000000,8/3/2001,G,115,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Garry Marshall,46,5.9
Peter Pan,48417850,100000000,12/25/2003,PG,113,Universal,Based on Book/Short Story,Adventure,Fantasy,P.J. Hogan,76,7.1
The Phantom of the Opera,51225796,55000000,12/22/2004,PG-13,143,Warner Bros.,Based on Musical/Opera,Musical,Historical Fiction,Joel Schumacher,33,7.2
Phone Booth,46566212,11000000,4/4/2003,R,81,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,71,7.2
Pirates of the Caribbean: Dead Man's Chest,423315812,225000000,7/7/2006,PG-13,151,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,54,7.3
Pirates of the Caribbean: At World's End,309420425,300000000,5/25/2007,PG-13,167,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,45,7
The Chronicles of Riddick,57712751,120000000,6/11/2004,PG-13,119,Universal,Original Screenplay,Adventure,Science Fiction,David Twohy,29,6.4
Planet of the Apes,180011740,100000000,7/27/2001,PG-13,120,20th Century Fox,Remake,Adventure,Science Fiction,Tim Burton,44,5.5
Paranormal Activity,107918810,15000,9/25/2009,R,85,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,Oren Peli,82,6.7
The Polar Express,181320597,170000000,11/10/2004,G,99,Warner Bros.,Based on Book/Short Story,Adventure,Kids Fiction,Robert Zemeckis,56,6.7
Perfume: The Story of a Murderer,2223293,63700000,12/27/2006,R,147,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Tom Tykwer,58,7.5
The Pursuit of Happyness,162586036,55000000,12/15/2006,PG-13,116,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Gabriele Muccino,66,7.8
Pearl Harbor,198539855,151500000,5/25/2001,PG-13,183,Walt Disney Pictures,Based on Real Life Events,Action,Dramatization,Michael Bay,26,5.4
Panic Room,95308367,48000000,3/29/2002,R,112,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,76,6.9
The Proposal,163958031,40000000,6/19/2009,PG-13,107,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Anne Fletcher,43,5.4
The Prestige,53089891,40000000,10/20/2006,PG-13,131,Walt Disney Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Christopher Nolan,75,8.4
The Queen,56441711,15000000,9/30/2006,PG-13,103,Miramax,Based on Real Life Events,Drama,Dramatization,Stephen Frears,97,7.6
Ratatouille,206445654,150000000,6/29/2007,G,111,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Brad Bird,96,8.1
Robin Hood,105269730,210000000,5/14/2010,PG-13,140,Universal,Traditional/Legend/Fairytale,Action,Historical Fiction,Ridley Scott,43,6.9
Robots,128200012,80000000,3/11/2005,PG,89,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,Chris Wedge,64,6.4
Red Dragon,92955420,78000000,10/4/2002,R,125,Universal,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Brett Ratner,68,7.3
The Reader,34192652,33000000,12/10/2008,R,123,Weinstein Co.,Based on Book/Short Story,Drama,Contemporary Fiction,Stephen Daldry,61,7.7
The Reaping,25126214,40000000,4/5/2007,R,100,Warner Bros.,Original Screenplay,Horror,Fantasy,Stephen Hopkins,8,5.6
Redacted,65388,5000000,11/16/2007,R,90,Magnolia Pictures,Based on Real Life Events,Drama,Dramatization,Brian De Palma,44,6.1
Reign Over Me,19661987,20000000,3/23/2007,R,128,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Mike Binder,63,7.7
Religulous,13011160,2500000,10/1/2008,R,101,Lionsgate,Based on Real Life Events,Documentary,Factual,Larry Charles,69,7.8
Resident Evil: Extinction,50648679,45000000,9/21/2007,R,95,Sony/Screen Gems,Based on Game,Action,Science Fiction,Russell Mulcahy,22,6.2
Resident Evil,40119709,35000000,3/15/2002,R,100,Sony Pictures,Based on Game,Horror,Science Fiction,Paul Anderson,34,6.4
Rachel Getting Married,12796277,12000000,10/3/2008,R,111,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,86,6.9
Riding in Cars with Boys,29781453,47000000,10/19/2001,PG-13,131,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Penny Marshall,48,6.2
Rendition,9736045,27500000,10/19/2007,R,121,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Gavin Hood,46,6.9
The Rocker,6409528,15000000,8/20/2008,PG-13,102,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,40,6.3
Rat Race,56607223,48000000,8/17/2001,PG-13,112,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jerry Zucker,43,6.4
Righteous Kill,40081410,60000000,9/12/2008,R,100,Overture Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Avnet,20,6
Rush Hour 2,226164286,90000000,8/3/2001,PG-13,90,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,51,6.4
Rush Hour 3,140125968,180000000,8/10/2007,PG-13,91,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,19,6
Saw II,87025093,5000000,10/28/2005,R,91,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,36,6.8
Saw III,80238724,10000000,10/27/2006,R,107,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,25,6.3
Saw VI,27693292,11000000,10/23/2009,R,91,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Kevin Greutert,42,6.2
Seabiscuit,120277854,86000000,7/25/2003,PG-13,141,Universal,Based on Book/Short Story,Drama,Historical Fiction,Gary Ross,77,7.4
Scary Movie 2,71277420,45000000,7/4/2001,R,82,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,14,4.7
Scary Movie 3,110000082,45000000,10/24/2003,PG-13,84,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,David Zucker,37,5.4
Scooby-Doo,153294164,84000000,6/14/2002,PG,86,Warner Bros.,Based on TV,Comedy,Kids Fiction,Raja Gosnell,28,4.7
About Schmidt,65005217,30000000,12/13/2002,R,125,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Alexander Payne,85,7.3
School for Scoundrels,17807569,20000000,9/29/2006,PG-13,101,MGM,Remake,Comedy,Contemporary Fiction,Todd Phillips,26,6
The Score,71069884,68000000,7/13/2001,R,124,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Frank Oz,74,6.8
The Scorpion King,90580000,60000000,4/19/2002,PG-13,91,Universal,Spin-Off,Action,Fantasy,Chuck Russell,40,5.3
Stardust,38634938,70000000,8/10/2007,PG-13,128,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Matthew Vaughn,76,7.9
Swordfish,69772969,80000000,6/8/2001,R,99,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Dominic Sena,25,6.3
Something's Gotta Give,124685242,80000000,12/12/2003,PG-13,128,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,70,6.8
Shallow Hal,70836296,40000000,11/9/2001,PG-13,113,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,50,6
Shooter,47003582,60000000,3/23/2007,R,125,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Antoine Fuqua,48,7.2
Shrek,267655011,50000000,5/18/2001,PG,90,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89,8
Shrek 2,441226247,70000000,5/19/2004,PG,92,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89,7.5
Shark Tale,160861908,75000000,10/1/2004,PG,90,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Rob Letterman,35,5.9
Showtime,37948765,85000000,3/15/2002,PG-13,95,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Dey,24,5.3
Signs,227965690,70702619,8/2/2002,PG-13,106,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,74,6.9
The Simpsons Movie,183135014,72500000,7/27/2007,PG-13,86,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,David Silverman,89,7.6
Sin City,74103820,40000000,4/1/2005,R,126,Miramax/Dimension,Based on Comic/Graphic Novel,Action,Fantasy,Robert Rodriguez,77,8.3
Hannibal,165092266,87000000,2/9/2001,R,131,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Ridley Scott,39,6.4
Slumdog Millionaire,141319928,14000000,11/12/2008,R,116,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Danny Boyle,94,8.3
Smokin' Aces,35662731,17000000,1/26/2007,R,108,Universal,Original Screenplay,Comedy,Contemporary Fiction,Joe Carnahan,28,6.6
Someone Like You,27338033,23000000,3/30/2001,PG-13,97,20th Century Fox,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Tony Goldwyn,41,5.8
Snakes on a Plane,34020814,33000000,8/18/2006,R,105,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David R. Ellis,68,6
Lemony Snicket's A Series of Unfortunate Events,118627117,100000000,12/17/2004,PG,108,Paramount Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brad Silberling,71,6.9
Shanghai Knights,60470220,50000000,2/7/2003,PG-13,114,Walt Disney Pictures,Original Screenplay,Adventure,Historical Fiction,David Dobkin,66,6.2
Snow Dogs,81150692,32000000,1/18/2002,PG,99,Walt Disney Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brian Levant,23,4.9
Sunshine,3688560,40000000,7/20/2007,R,108,Fox Searchlight,Original Screenplay,Thriller/Suspense,Science Fiction,Danny Boyle,74,7.3
Spanglish,42044321,75000000,12/17/2004,PG-13,103,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,James L. Brooks,52,6.7
Superbad,121463226,17500000,8/17/2007,R,112,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Greg Mottola,87,7.8
Spider-Man 2,373524485,200000000,6/30/2004,PG-13,127,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,93,7.7
Spider-Man 3,336530303,258000000,5/4/2007,PG-13,139,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,63,6.4
Spider-Man,403706375,139000000,5/3/2002,PG-13,121,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,89,7.4
Scott Pilgrim vs. The World,31167395,85000000,8/13/2010,PG-13,112,Universal,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Edgar Wright,81,8.1
Superman Returns,200120000,232000000,6/28/2006,PG-13,157,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Bryan Singer,76,6.6
Spy Game,62362560,90000000,11/21/2001,R,126,Universal,Original Screenplay,Action,Contemporary Fiction,Tony Scott,65,6.9
Spy Kids,112692062,35000000,3/30/2001,PG,88,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,93,5.7
Serendipity,50255310,28000000,10/5/2001,PG-13,91,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peter Chelsom,58,6.6
The Stepford Wives,59475623,100000000,6/11/2004,PG-13,93,Paramount Pictures,Remake,Comedy,Contemporary Fiction,Frank Oz,26,5.1
